"","Participant","Age","Gender","Ethnicity","Familiar Yes/No","RFamiliar explain","Trait","Identity","ImageID","Rating","Identity Mean","Variance"
"1",1,23,"Female","Australian","No","NA","Trustworthiness","FA","FA001",1,2.9,1.9
"2",1,23,"Female","Australian","No","NA","Trustworthiness","FA","FA002",4,2.9,1.1
"3",1,23,"Female","Australian","No","NA","Trustworthiness","FA","FA003",2,2.9,0.9
"4",1,23,"Female","Australian","No","NA","Trustworthiness","FA","FA004",5,2.9,2.1
"5",1,23,"Female","Australian","No","NA","Trustworthiness","FA","FA005",3,2.9,0.1
"6",1,23,"Female","Australian","No","NA","Trustworthiness","FA","FA006",4,2.9,1.1
"7",1,23,"Female","Australian","No","NA","Trustworthiness","FA","FA007",4,2.9,1.1
"8",1,23,"Female","Australian","No","NA","Trustworthiness","FA","FA008",2,2.9,0.9
"9",1,23,"Female","Australian","No","NA","Trustworthiness","FA","FA009",2,2.9,0.9
"10",1,23,"Female","Australian","No","NA","Trustworthiness","FA","FA010",5,2.9,2.1
"11",1,23,"Female","Australian","No","NA","Trustworthiness","FA","FA011",5,2.9,2.1
"12",1,23,"Female","Australian","No","NA","Trustworthiness","FA","FA012",3,2.9,0.1
"13",1,23,"Female","Australian","No","NA","Trustworthiness","FA","FA013",4,2.9,1.1
"14",1,23,"Female","Australian","No","NA","Trustworthiness","FA","FA014",1,2.9,1.9
"15",1,23,"Female","Australian","No","NA","Trustworthiness","FA","FA015",1,2.9,1.9
"16",1,23,"Female","Australian","No","NA","Trustworthiness","FA","FA016",3,2.9,0.1
"17",1,23,"Female","Australian","No","NA","Trustworthiness","FA","FA017",2,2.9,0.9
"18",1,23,"Female","Australian","No","NA","Trustworthiness","FA","FA018",2,2.9,0.9
"19",1,23,"Female","Australian","No","NA","Trustworthiness","FA","FA019",3,2.9,0.1
"20",1,23,"Female","Australian","No","NA","Trustworthiness","FA","FA020",2,2.9,0.9
"21",1,23,"Female","Australian","No","NA","Trustworthiness","FB","FB001",3,3.5,0.5
"22",1,23,"Female","Australian","No","NA","Trustworthiness","FB","FB002",3,3.5,0.5
"23",1,23,"Female","Australian","No","NA","Trustworthiness","FB","FB003",3,3.5,0.5
"24",1,23,"Female","Australian","No","NA","Trustworthiness","FB","FB004",4,3.5,0.5
"25",1,23,"Female","Australian","No","NA","Trustworthiness","FB","FB005",4,3.5,0.5
"26",1,23,"Female","Australian","No","NA","Trustworthiness","FB","FB006",3,3.5,0.5
"27",1,23,"Female","Australian","No","NA","Trustworthiness","FB","FB007",4,3.5,0.5
"28",1,23,"Female","Australian","No","NA","Trustworthiness","FB","FB008",3,3.5,0.5
"29",1,23,"Female","Australian","No","NA","Trustworthiness","FB","FB009",4,3.5,0.5
"30",1,23,"Female","Australian","No","NA","Trustworthiness","FB","FB010",4,3.5,0.5
"31",1,23,"Female","Australian","No","NA","Trustworthiness","FB","FB011",3,3.5,0.5
"32",1,23,"Female","Australian","No","NA","Trustworthiness","FB","FB012",3,3.5,0.5
"33",1,23,"Female","Australian","No","NA","Trustworthiness","FB","FB013",4,3.5,0.5
"34",1,23,"Female","Australian","No","NA","Trustworthiness","FB","FB014",4,3.5,0.5
"35",1,23,"Female","Australian","No","NA","Trustworthiness","FB","FB015",3,3.5,0.5
"36",1,23,"Female","Australian","No","NA","Trustworthiness","FB","FB016",4,3.5,0.5
"37",1,23,"Female","Australian","No","NA","Trustworthiness","FB","FB017",2,3.5,1.5
"38",1,23,"Female","Australian","No","NA","Trustworthiness","FB","FB018",3,3.5,0.5
"39",1,23,"Female","Australian","No","NA","Trustworthiness","FB","FB019",5,3.5,1.5
"40",1,23,"Female","Australian","No","NA","Trustworthiness","FB","FB020",4,3.5,0.5
"41",1,23,"Female","Australian","No","NA","Trustworthiness","FC","FC001",4,3.2,0.8
"42",1,23,"Female","Australian","No","NA","Trustworthiness","FC","FC002",4,3.2,0.8
"43",1,23,"Female","Australian","No","NA","Trustworthiness","FC","FC003",3,3.2,0.2
"44",1,23,"Female","Australian","No","NA","Trustworthiness","FC","FC004",1,3.2,2.2
"45",1,23,"Female","Australian","No","NA","Trustworthiness","FC","FC005",3,3.2,0.2
"46",1,23,"Female","Australian","No","NA","Trustworthiness","FC","FC006",2,3.2,1.2
"47",1,23,"Female","Australian","No","NA","Trustworthiness","FC","FC007",2,3.2,1.2
"48",1,23,"Female","Australian","No","NA","Trustworthiness","FC","FC008",3,3.2,0.2
"49",1,23,"Female","Australian","No","NA","Trustworthiness","FC","FC009",4,3.2,0.8
"50",1,23,"Female","Australian","No","NA","Trustworthiness","FC","FC010",4,3.2,0.8
"51",1,23,"Female","Australian","No","NA","Trustworthiness","FC","FC011",5,3.2,1.8
"52",1,23,"Female","Australian","No","NA","Trustworthiness","FC","FC012",5,3.2,1.8
"53",1,23,"Female","Australian","No","NA","Trustworthiness","FC","FC013",1,3.2,2.2
"54",1,23,"Female","Australian","No","NA","Trustworthiness","FC","FC014",3,3.2,0.2
"55",1,23,"Female","Australian","No","NA","Trustworthiness","FC","FC015",3,3.2,0.2
"56",1,23,"Female","Australian","No","NA","Trustworthiness","FC","FC016",3,3.2,0.2
"57",1,23,"Female","Australian","No","NA","Trustworthiness","FC","FC017",5,3.2,1.8
"58",1,23,"Female","Australian","No","NA","Trustworthiness","FC","FC018",4,3.2,0.8
"59",1,23,"Female","Australian","No","NA","Trustworthiness","FC","FC019",3,3.2,0.2
"60",1,23,"Female","Australian","No","NA","Trustworthiness","FC","FC020",2,3.2,1.2
"61",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD001",1,3.1,2.1
"62",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD002",5,3.1,1.9
"63",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD003",3,3.1,0.1
"64",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD004",3,3.1,0.1
"65",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD005",1,3.1,2.1
"66",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD006",5,3.1,1.9
"67",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD007",3,3.1,0.1
"68",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD008",3,3.1,0.1
"69",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD009",3,3.1,0.1
"70",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD010",2,3.1,1.1
"71",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD011",3,3.1,0.1
"72",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD012",3,3.1,0.1
"73",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD013",6,3.1,2.9
"74",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD014",2,3.1,1.1
"75",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD015",4,3.1,0.9
"76",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD016",3,3.1,0.1
"77",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD017",2,3.1,1.1
"78",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD018",1,3.1,2.1
"79",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD019",5,3.1,1.9
"80",1,23,"Female","Australian","No","NA","Trustworthiness","FD","FD020",4,3.1,0.9
"81",1,23,"Female","Australian","No","NA","Trustworthiness","FE","FE001",3,3.15,0.15
